
Time elapsed was 256459796178ns or 256.459796178s
Time elapsed was 256450385224ns or 256.450385224s
Time elapsed was 256450721487ns or 256.450721487s
Time elapsed was 257213704845ns or 257.213704845s
Time elapsed was 257213911363ns or 257.213911363s
Time elapsed was 257214199365ns or 257.214199365s
Time elapsed was 258198209344ns or 258.198209344s
Time elapsed was 258198138104ns or 258.198138104s
Time elapsed was 258198150646ns or 258.198150646s
Time elapsed was 255766154208ns or 255.766154208s
Time elapsed was 255766166980ns or 255.766166980s
Time elapsed was 255765905174ns or 255.765905174s
Time elapsed was 256577527625ns or 256.577527625s
Time elapsed was 256578096166ns or 256.578096166s
Time elapsed was 256577625698ns or 256.577625698s
Time elapsed was 255890157770ns or 255.890157770s
Time elapsed was 255890721374ns or 255.890721374s
Time elapsed was 255890884523ns or 255.890884523s
Time elapsed was 256045792114ns or 256.045792114s
Time elapsed was 256046004236ns or 256.046004236s
Time elapsed was 256045764326ns or 256.045764326s
Time elapsed was 256357561121ns or 256.357561121s
Time elapsed was 256358045485ns or 256.358045485s
Time elapsed was 256357949742ns or 256.357949742s
Time elapsed was 258655433528ns or 258.655433528s
Time elapsed was 258656396024ns or 258.656396024s
Time elapsed was 258656442408ns or 258.656442408s
Time elapsed was 257213212484ns or 257.213212484s
Time elapsed was 257213447201ns or 257.213447201s
Time elapsed was 257213367925ns or 257.213367925s
