x,y
82.73,195.46
79.53,189.06
66.86,163.72
69.21,168.42
82.2,194.4
84.32,198.64
71.12,172.24
85.64,201.28
69.22,168.44
83.12,196.24
84.31,198.62
75.6,181.2
69.04,168.08
85.41,200.82
17.44,64.88
68.92,167.84
69.95,169.9
0.15,30.3
73.96,177.92
27.7,85.4
97.97,225.94
56.21,142.42
30.27,90.54
37.47,104.94
98.98,227.96
92.61,215.22
4.72,39.44
19.51,69.02
94.74,219.48
31.66,93.32
94.76,219.52
32.73,95.46
32.64,95.28
38.78,107.56
91.47,212.94
77.99,185.98
33.38,96.76
79.28,188.56
39.69,109.38
95.47,220.94
82.64,195.28
25.53,81.06
68.58,167.16
92.25,214.5
74.79,179.58
1.32,32.64
53.85,137.7
78.75,187.5
2.91,35.82
90.68,211.36
11.44,52.88
30.72,91.44
49.06,128.12
49.09,128.18
62.54,155.08
38.83,107.66
78.43,186.86
69.49,168.98
27.27,84.54
80.06,190.12
5.73,41.46
80.21,190.42
8.47,46.94
86.98,203.96
64.26,158.52
95.74,221.48
15.06,60.12
31.96,93.92
95.27,220.54
61.1,152.2
27.51,85.02
26.48,82.96
92.61,215.22
8.25,46.5
90.69,211.38
45.4,120.8
23.59,77.18
46.71,123.42
21.15,72.3
27.99,85.98
7.75,45.5
13.7,57.4
74.85,179.7
50.93,131.86
33.8,97.6
80.99,191.98
92.41,214.82
92.61,215.22
34.7,99.4
35.07,100.14
86.87,203.74
41.99,113.98
16.27,62.54
36.31,102.62
22.35,74.7
89.11,208.22
56.11,142.22
51.9,133.8
35.74,101.48
10.66,51.32
61.27,152.54
77.55,185.1
61.17,152.34
15.54,61.08
91.99,213.98
12.91,55.82
48.52,127.04
54.88,139.76
73.59,177.18
5.49,40.98
92.31,214.62
48.5,127
40.02,110.04
48.22,126.44
17.08,64.16
34.27,98.54
59.06,148.12
92.71,215.42
37.7,105.4
77.11,184.22
43.27,116.54
79.71,189.42
0.86,31.72
3,36
56.03,142.06
17.66,65.32
18.39,66.78
31.08,92.16
32.64,95.28
51.68,133.36
78.46,186.92
9.57,49.14
68.38,166.76
30.29,90.58
86.15,202.3
16.82,63.64
3.35,36.7
65.78,161.56
50.7,131.4
38.26,106.52
85.52,201.04
44.06,118.12
44.09,118.18
81.86,193.72
33.98,97.96
93.8,217.6
59.58,149.16
98.75,227.5
88.98,207.96
78.08,186.16
82.77,195.54
76.49,182.98
55.38,140.76
46.56,123.12
83.92,197.84
81.38,192.76
4.88,39.76
4.57,39.14
57.96,145.92
33.42,96.84
9.95,49.9
47.14,124.28
63.17,156.34
95.01,220.02
30.36,90.72
2.46,34.92
69.75,169.5
