Time elapsed was 253666557369ns or 253.666557369s
Time elapsed was 252255423800ns or 252.255423800s
Time elapsed was 252351604703ns or 252.351604703s
Time elapsed was 252487331691ns or 252.487331691s
Time elapsed was 252592978287ns or 252.592978287s
Time elapsed was 252466561976ns or 252.466561976s
Time elapsed was 252443301458ns or 252.443301458s
Time elapsed was 252283012776ns or 252.283012776s
Time elapsed was 253362888686ns or 253.362888686s
Time elapsed was 254277799238ns or 254.277799238s
